tau_c,rep,w,method,AUC,BSS,n,events
5.0,1,1,rolling_ou,0.7745112360379502,0.4189166489715108,3739,984
5.0,1,5,oracle_pde,0.8623474687559942,0.634367237056285,3739,984
5.0,1,5,latent_flex,0.847906983607041,0.5989068560576427,3739,984
5.0,1,5,rolling_flex,0.833340157584879,0.5828788268989535,3739,984
5.0,1,5,rolling_ou,0.7799485045667154,0.2517461365875389,3739,984
5.0,1,10,oracle_pde,0.8623474687559942,0.634669765532854,3739,984
5.0,1,10,latent_flex,0.8491405131837162,0.5998634090012118,3739,984
5.0,1,10,rolling_flex,0.8153779897599338,0.5530757588542545,3739,984
5.0,1,10,rolling_ou,0.7611788617886178,0.2367359314377642,3739,984
5.0,1,20,oracle_pde,0.8623474687559942,0.6352753353389274,3739,984
5.0,1,20,latent_flex,0.8488153468195301,0.600803817107649,3739,984
5.0,1,20,rolling_flex,0.8009078098947958,0.5044770693660522,3739,984
5.0,1,20,rolling_ou,0.7313030262789015,0.2329145995455928,3739,984
5.0,1,40,oracle_pde,0.8623474687559942,0.6364885168823602,3739,984
5.0,1,40,latent_flex,0.8479281941186018,0.6012422129241517,3739,984
5.0,1,40,rolling_flex,0.757212865005238,0.3874706760006114,3739,984
5.0,1,40,rolling_ou,0.6985455122246322,0.2409406182877282,3739,984
5.0,1,80,oracle_pde,0.8623474687559942,0.6351287548926385,3739,984
5.0,1,80,latent_flex,0.8433736517492217,0.5975870886908841,3739,984
5.0,1,80,rolling_flex,0.6242262774261137,0.1204560438841703,3739,984
5.0,1,80,rolling_ou,0.6574841751139835,0.2250548154410869,3739,984
5.0,2,1,oracle_pde,0.9055465280121296,0.801895149827724,4209,716
5.0,2,1,latent_flex,0.8992618117320034,0.7566320585393401,4209,716
5.0,2,1,rolling_flex,0.8992618117320034,0.7566320585393401,4209,716
5.0,2,1,rolling_ou,0.9096085227118244,0.731176133861218,4209,716
5.0,2,5,oracle_pde,0.9055465280121296,0.8020607716549683,4209,716
5.0,2,5,latent_flex,0.8997596150001519,0.7580550162878528,4209,716
5.0,2,5,rolling_flex,0.8889274958536386,0.745670449739321,4209,716
5.0,2,5,rolling_ou,0.9046976634833914,0.6320101505110143,4209,716
5.0,2,10,oracle_pde,0.9055465280121296,0.8022677777804083,4209,716
5.0,2,10,latent_flex,0.8996094743357425,0.757041379119642,4209,716
5.0,2,10,rolling_flex,0.8811621647125055,0.7297223808887809,4209,716
5.0,2,10,rolling_ou,0.8958739506147171,0.6280946679734141,4209,716
5.0,2,20,oracle_pde,0.9055465280121296,0.802681718786362,4209,716
5.0,2,20,latent_flex,0.8997800069412567,0.7571661329826382,4209,716
5.0,2,20,rolling_flex,0.8700975374531985,0.7036368255618306,4209,716
5.0,2,20,rolling_ou,0.8767167215516427,0.6344366419959571,4209,716
5.0,2,40,oracle_pde,0.9055465280121296,0.8035093105375171,4209,716
5.0,2,40,latent_flex,0.8988205861043715,0.7568220030879866,4209,716
5.0,2,40,rolling_flex,0.8462041801080212,0.6717549590973835,4209,716
5.0,2,40,rolling_ou,0.8511124403635683,0.6438138465169702,4209,716
5.0,2,80,oracle_pde,0.9055465280121296,0.8045759287670784,4209,716
5.0,2,80,latent_flex,0.8997975999884844,0.7598169805914937,4209,716
5.0,2,80,rolling_flex,0.7652111885382897,0.5871217225820633,4209,716
5.0,2,80,rolling_ou,0.8073673284318038,0.6413217777243145,4209,716
5.0,3,1,oracle_pde,0.8813436117838815,0.4236542501589683,3153,824
5.0,3,1,latent_flex,0.8617312526314473,0.435215697607119,3153,824
5.0,3,1,rolling_flex,0.8617312526314473,0.435215697607119,3153,824
5.0,3,1,rolling_ou,0.8468112069432692,0.3252302696984424,3153,824
5.0,3,5,oracle_pde,0.8813436117838815,0.4237681056915453,3153,824
5.0,3,5,latent_flex,0.8608613117842985,0.434107607158406,3153,824
5.0,3,5,rolling_flex,0.8596849766765184,0.4237468043316252,3153,824
5.0,3,5,rolling_ou,0.8378069674471731,0.0897255611029128,3153,824
5.0,3,10,oracle_pde,0.8813436117838815,0.4239107659364082,3153,824
5.0,3,10,latent_flex,0.8610757356588727,0.4333300864238969,3153,824
5.0,3,10,rolling_flex,0.8522781038572329,0.4026782584429518,3153,824
5.0,3,10,rolling_ou,0.8261744071166841,0.0465106831178169,3153,824
5.0,3,20,oracle_pde,0.8813436117838815,0.4241972251377017,3153,824
5.0,3,20,latent_flex,0.8615462697019847,0.435053628518854,3153,824
5.0,3,20,rolling_flex,0.8447852530566475,0.3480600256931658,3153,824
5.0,3,20,rolling_ou,0.8076091555607432,0.0613313679401289,3153,824
5.0,3,40,oracle_pde,0.8813436117838815,0.4247747176804826,3153,824
5.0,3,40,latent_flex,0.8610963182665171,0.4346588374144917,3153,824
5.0,3,40,rolling_flex,0.8337884087091005,0.2779224117052555,3153,824
5.0,3,40,rolling_ou,0.806491181264512,0.1033765936755918,3153,824
5.0,3,80,oracle_pde,0.8813436117838815,0.4244713893823486,3153,824
5.0,3,80,latent_flex,0.8630641718809272,0.436622034902297,3153,824
5.0,3,80,rolling_flex,0.858063379841342,0.3368506296743185,3153,824
5.0,3,80,rolling_ou,0.826625661248838,0.1152736297589737,3153,824
5.0,4,1,oracle_pde,0.8085251287875715,0.5211296204872882,3333,1108
5.0,4,1,latent_flex,0.8157936153814952,0.526204201893226,3333,1108
5.0,4,1,rolling_flex,0.8157936153814952,0.526204201893226,3333,1108
5.0,4,1,rolling_ou,0.7708453332251652,0.2916394359756589,3333,1108
5.0,4,5,oracle_pde,0.8085251287875715,0.5214181623923327,3333,1108
5.0,4,5,latent_flex,0.8156145296718451,0.5261859433855104,3333,1108
5.0,4,5,rolling_flex,0.7998772968807041,0.4969752211964974,3333,1108
5.0,4,5,rolling_ou,0.7601975418813126,0.0635435609978112,3333,1108
5.0,4,10,oracle_pde,0.8085251287875715,0.5217791351142018,3333,1108
5.0,4,10,latent_flex,0.8151730012574534,0.5268915806048547,3333,1108
5.0,4,10,rolling_flex,0.7863631201070863,0.4700552185414296,3333,1108
5.0,4,10,rolling_ou,0.7405273191903622,0.0400523913920548,3333,1108
5.0,4,20,oracle_pde,0.8085251287875715,0.5225020636285864,3333,1108
5.0,4,20,latent_flex,0.8157968604226665,0.527583820600517,3333,1108
5.0,4,20,rolling_flex,0.7566355007504157,0.4264243514948851,3333,1108
5.0,4,20,rolling_ou,0.7128260252301951,0.0422731085566744,3333,1108
5.0,4,40,oracle_pde,0.8085251287875715,0.5239518425253631,3333,1108
5.0,4,40,latent_flex,0.8140362227720763,0.5282644683129291,3333,1108
5.0,4,40,rolling_flex,0.7252206627996592,0.3729053034324626,3333,1108
5.0,4,40,rolling_ou,0.683695290634,0.0291502384035446,3333,1108
5.0,4,80,oracle_pde,0.8085251287875715,0.5268670027112989,3333,1108
5.0,4,80,latent_flex,0.8124992901472438,0.530221696878497,3333,1108
5.0,4,80,rolling_flex,0.7022861315052935,0.3281661582314966,3333,1108
5.0,4,80,rolling_ou,0.6769427655863384,0.0143919571148187,3333,1108
5.0,5,1,oracle_pde,0.8111345845779323,0.3881715365597951,3935,1304
5.0,5,1,latent_flex,0.8009784238422024,0.3923111797492927,3935,1304
5.0,5,1,rolling_flex,0.8009784238422024,0.3923111797492927,3935,1304
5.0,5,1,rolling_ou,0.8110940695296524,0.1837265557155127,3935,1304
5.0,5,5,oracle_pde,0.8111345845779323,0.3883925862997002,3935,1304
5.0,5,5,latent_flex,0.8009698253247616,0.3927584597840982,3935,1304
5.0,5,5,rolling_flex,0.7869726048319586,0.356803166616551,3935,1304
5.0,5,5,rolling_ou,0.8028651426013109,-0.1160949532163873,3935,1304
5.0,5,10,oracle_pde,0.8111345845779323,0.3886693796201805,3935,1304
5.0,5,10,latent_flex,0.8010301606844303,0.3931644461272996,3935,1304
5.0,5,10,rolling_flex,0.7720454328173056,0.3254424393349429,3935,1304
5.0,5,10,rolling_ou,0.7894738989817024,-0.1606706865874632,3935,1304
5.0,5,20,oracle_pde,0.8111345845779323,0.3892245716927672,3935,1304
5.0,5,20,latent_flex,0.8019347538667095,0.3934195176446428,3935,1304
5.0,5,20,rolling_flex,0.7434369993913998,0.2763170496433051,3935,1304
5.0,5,20,rolling_ou,0.769025167131861,-0.1675486990530534,3935,1304
5.0,5,40,oracle_pde,0.8111345845779323,0.390341389356743,3935,1304
5.0,5,40,latent_flex,0.8010389049394547,0.3939642255254562,3935,1304
5.0,5,40,rolling_flex,0.7184281385463084,0.2331908852482901,3935,1304
5.0,5,40,rolling_ou,0.7478171424707301,-0.1871732050174603,3935,1304
5.0,5,80,oracle_pde,0.8111345845779323,0.3926008516453753,3935,1304
5.0,5,80,latent_flex,0.80143064756455,0.3965847527476538,3935,1304
5.0,5,80,rolling_flex,0.6537990581854389,0.130328408644725,3935,1304
5.0,5,80,rolling_ou,0.7164430469181748,-0.2122724574489158,3935,1304
20.0,0,1,oracle_pde,0.8781184905294773,0.5750531215220238,3314,983
20.0,0,1,latent_flex,0.8794805559810647,0.552908954788212,3314,983
20.0,0,1,rolling_flex,0.8794805559810647,0.552908954788212,3314,983
20.0,0,1,rolling_ou,0.8054144829322856,0.3386101094084592,3314,983
20.0,0,5,oracle_pde,0.8781184905294773,0.5752930241804648,3314,983
20.0,0,5,latent_flex,0.8797871407230512,0.5539490621974069,3314,983
20.0,0,5,rolling_flex,0.8670360521835598,0.5292983892358245,3314,983
20.0,0,5,rolling_ou,0.8002088704021564,0.138466361131836,3314,983
20.0,0,10,oracle_pde,0.8781184905294773,0.5755931642714263,3314,983
20.0,0,10,latent_flex,0.8794744461072029,0.5542578083721853,3314,983
20.0,0,10,rolling_flex,0.8552450866794712,0.4991260137113396,3314,983
20.0,0,10,rolling_ou,0.7874370519334912,0.116510137262249,3314,983
20.0,0,20,oracle_pde,0.8781184905294773,0.5761943161889507,3314,983
20.0,0,20,latent_flex,0.8794188026131059,0.5544031627716386,3314,983
20.0,0,20,rolling_flex,0.8319893792935502,0.4373480598795173,3314,983
20.0,0,20,rolling_ou,0.7689961433603347,0.1126872375806194,3314,983
20.0,0,40,oracle_pde,0.8781184905294773,0.5774001008034115,3314,983
20.0,0,40,latent_flex,0.8791562962468354,0.5550481131657711,3314,983
20.0,0,40,rolling_flex,0.8053520749349843,0.3652941186851691,3314,983
20.0,0,40,rolling_ou,0.7648383741974791,0.1174972990409489,3314,983
20.0,0,80,oracle_pde,0.8781184905294773,0.5798255424442709,3314,983
20.0,0,80,latent_flex,0.879706403104165,0.5576628746596146,3314,983
20.0,0,80,rolling_flex,0.7815584804394571,0.2918997469069649,3314,983
20.0,0,80,rolling_ou,0.7542525813126016,0.1119359146654627,3314,983
20.0,1,1,oracle_pde,0.9213253060266792,0.7222168014990429,3945,814
20.0,1,1,latent_flex,0.916362255231626,0.7204414269644001,3945,814
20.0,1,1,rolling_flex,0.916362255231626,0.7204414269644001,3945,814
20.0,1,1,rolling_ou,0.884264276471239,0.5362364315025185,3945,814
20.0,1,5,oracle_pde,0.9213253060266792,0.7224049876613312,3945,814
20.0,1,5,latent_flex,0.9163522498718922,0.7202845536525171,3945,814
20.0,1,5,rolling_flex,0.9105840618935476,0.7092048500716627,3945,814
20.0,1,5,rolling_ou,0.8927809956235379,0.3853381566966283,3945,814
20.0,1,10,oracle_pde,0.9213253060266792,0.7226403097260818,3945,814
20.0,1,10,latent_flex,0.9166014029476184,0.7209464798640619,3945,814
20.0,1,10,rolling_flex,0.9033998212375728,0.6923187872831384,3945,814
20.0,1,10,rolling_ou,0.8866078848512576,0.3671531673829407,3945,814
20.0,1,20,oracle_pde,0.9213253060266792,0.7231112508153599,3945,814
20.0,1,20,latent_flex,0.9161852976928032,0.721047222312287,3945,814
20.0,1,20,rolling_flex,0.8894386169218491,0.6617598660546176,3945,814
20.0,1,20,rolling_ou,0.8731477332563248,0.370919078732874,3945,814
20.0,1,40,oracle_pde,0.9213253060266792,0.7240543140705029,3945,814
20.0,1,40,latent_flex,0.9159284934596336,0.7216370937866572,3945,814
20.0,1,40,rolling_flex,0.8710619100270969,0.6117810847896821,3945,814
20.0,1,40,rolling_ou,0.8458896020377975,0.3962627594568298,3945,814
20.0,1,80,oracle_pde,0.9213253060266792,0.7259451102680439,3945,814
20.0,1,80,latent_flex,0.915742315295174,0.7232399033144368,3945,814
20.0,1,80,rolling_flex,0.8136460551024588,0.5360890844050364,3945,814
20.0,1,80,rolling_ou,0.794562106602988,0.4256395441800329,3945,814
20.0,2,1,oracle_pde,0.9055687563610098,0.5329239306274651,2852,1136
20.0,2,1,latent_flex,0.9011234877211992,0.494601468371348,2852,1136
20.0,2,1,rolling_flex,0.9011234877211992,0.494601468371348,2852,1136
20.0,2,1,rolling_ou,0.8617588397517975,0.0791058979743559,2852,1136
20.0,2,5,oracle_pde,0.9055687563610098,0.5330303321894854,2852,1136
20.0,2,5,latent_flex,0.9003950494927607,0.4938715221400718,2852,1136
20.0,2,5,rolling_flex,0.8907081035162021,0.4725502723344824,2852,1136
20.0,2,5,rolling_ou,0.8543939188745527,-0.3357740344538444,2852,1136
20.0,2,10,oracle_pde,0.9055687563610098,0.5331637216237,2852,1136
20.0,2,10,latent_flex,0.9013202173413442,0.4922890464458918,2852,1136
20.0,2,10,rolling_flex,0.8823213171804722,0.454375456825199,2852,1136
20.0,2,10,rolling_ou,0.8389161454742441,-0.3824905065795534,2852,1136
20.0,2,20,oracle_pde,0.9055687563610098,0.5334317948505053,2852,1136
20.0,2,20,latent_flex,0.9009272710857218,0.492548602013634,2852,1136
20.0,2,20,rolling_flex,0.8713824321218686,0.4338051317529274,2852,1136
20.0,2,20,rolling_ou,0.8193029461735446,-0.373748165839443,2852,1136
20.0,2,40,oracle_pde,0.9055687563610098,0.5339731390061699,2852,1136
20.0,2,40,latent_flex,0.9009247061623822,0.4946839059675229,2852,1136
20.0,2,40,rolling_flex,0.8528477830854593,0.4002576099043968,2852,1136
20.0,2,40,rolling_ou,0.811531228454644,-0.3485009183062326,2852,1136
20.0,2,80,oracle_pde,0.9055687563610098,0.5350767800206233,2852,1136
20.0,2,80,latent_flex,0.9017731828031124,0.4970770565407011,2852,1136
20.0,2,80,rolling_flex,0.8412114953708263,0.3655504074123444,2852,1136
20.0,2,80,rolling_ou,0.8093561734626875,-0.3275190391899649,2852,1136
20.0,3,1,oracle_pde,0.8618563072099016,0.3925130760430855,3701,1062
20.0,3,1,latent_flex,0.8572595337645015,0.377340393509125,3701,1062
20.0,3,1,rolling_flex,0.8572595337645015,0.377340393509125,3701,1062
20.0,3,1,rolling_ou,0.8323182110441023,0.1321584043725798,3701,1062
20.0,3,5,oracle_pde,0.8618563072099016,0.3923585628378677,3701,1062
20.0,3,5,latent_flex,0.8581099885892405,0.3769880525354583,3701,1062
20.0,3,5,rolling_flex,0.8515909053606308,0.3498547649545518,3701,1062
20.0,3,5,rolling_ou,0.8403499870478246,-0.1872746461376946,3701,1062
20.0,3,10,oracle_pde,0.8618563072099016,0.392165808471275,3701,1062
20.0,3,10,latent_flex,0.8584534174832246,0.3787238423620376,3701,1062
20.0,3,10,rolling_flex,0.8384685319226522,0.3158207181663064,3701,1062
20.0,3,10,rolling_ou,0.8332130886192838,-0.2438223294062886,3701,1062
20.0,3,20,oracle_pde,0.8618563072099016,0.3917816028656614,3701,1062
20.0,3,20,latent_flex,0.8578964382587994,0.3777767790180885,3701,1062
20.0,3,20,rolling_flex,0.8259279359513141,0.2780261240148691,3701,1062
20.0,3,20,rolling_ou,0.8201214007759886,-0.2581808628185256,3701,1062
20.0,3,40,oracle_pde,0.8618563072099016,0.3910184982198016,3701,1062
20.0,3,40,latent_flex,0.8601238199426394,0.378067685995181,3701,1062
20.0,3,40,rolling_flex,0.7934477691929476,0.2082142408250527,3701,1062
20.0,3,40,rolling_ou,0.7960307112849486,-0.2392871413338348,3701,1062
20.0,3,80,oracle_pde,0.8618563072099016,0.3899913169200438,3701,1062
20.0,3,80,latent_flex,0.8599109832306794,0.3760553134090637,3701,1062
20.0,3,80,rolling_flex,0.7746976220091357,0.139767992802593,3701,1062
20.0,3,80,rolling_ou,0.767532357245975,-0.2390281860731848,3701,1062
20.0,4,1,oracle_pde,0.906472449936419,0.5063828795608646,2992,1021
20.0,4,1,latent_flex,0.8954959548119624,0.4790156958134143,2992,1021
20.0,4,1,rolling_flex,0.8954959548119624,0.4790156958134143,2992,1021
20.0,4,1,rolling_ou,0.8343557489573349,0.0993766395695886,2992,1021
20.0,4,5,oracle_pde,0.906472449936419,0.5064149967163447,2992,1021
20.0,4,5,latent_flex,0.8965370049856116,0.4818467396306476,2992,1021
20.0,4,5,rolling_flex,0.8905687314244597,0.4648322403693754,2992,1021
20.0,4,5,rolling_ou,0.8428481343834274,-0.2348044048415234,2992,1021
20.0,4,10,oracle_pde,0.906472449936419,0.5064553833307588,2992,1021
20.0,4,10,latent_flex,0.8961069195797438,0.4795622274655136,2992,1021
20.0,4,10,rolling_flex,0.8830264595697358,0.4424317138222232,2992,1021
20.0,4,10,rolling_ou,0.8357993054033733,-0.2740397120258304,2992,1021
20.0,4,20,oracle_pde,0.906472449936419,0.5065369600156165,2992,1021
20.0,4,20,latent_flex,0.8966264508239205,0.4811729286369784,2992,1021
20.0,4,20,rolling_flex,0.8729103837176773,0.4204269489820865,2992,1021
20.0,4,20,rolling_ou,0.8305597669637759,-0.2780874902926826,2992,1021
20.0,4,40,oracle_pde,0.906472449936419,0.5067033485885317,2992,1021
20.0,4,40,latent_flex,0.8962072976871791,0.480711813242707,2992,1021
20.0,4,40,rolling_flex,0.854213221983203,0.3641595629734098,2992,1021
20.0,4,40,rolling_ou,0.8236172791470445,-0.2703987196568136,2992,1021
20.0,4,80,oracle_pde,0.906472449936419,0.5063227977110736,2992,1021
20.0,4,80,latent_flex,0.8964194830925002,0.4804494489632238,2992,1021
20.0,4,80,rolling_flex,0.8376426350545197,0.3090524126288149,2992,1021
20.0,4,80,rolling_ou,0.8407242926449184,-0.2133653136148665,2992,1021
20.0,5,1,oracle_pde,0.8885907805615834,0.5787460838292553,3734,959
20.0,5,1,latent_flex,0.880775582673393,0.5274019593147976,3734,959
20.0,5,1,rolling_flex,0.880775582673393,0.5274019593147976,3734,959
20.0,5,1,rolling_ou,0.8374827382126653,0.3514835997794542,3734,959
20.0,5,5,oracle_pde,0.8885907805615834,0.5789167907390913,3734,959
20.0,5,5,latent_flex,0.8811558586741068,0.5252837273303193,3734,959
20.0,5,5,rolling_flex,0.8716555345752427,0.502063447032715,3734,959
20.0,5,5,rolling_ou,0.8276241204708359,0.1472594716355321,3734,959
20.0,5,10,oracle_pde,0.8885907805615834,0.579130460166057,3734,959
20.0,5,10,latent_flex,0.8806989262463714,0.5266731449964938,3734,959
20.0,5,10,rolling_flex,0.8602374846170466,0.4701769340904502,3734,959
20.0,5,10,rolling_ou,0.8071241627446007,0.1223962946110394,3734,959
20.0,5,20,oracle_pde,0.8885907805615834,0.5795587522514802,3734,959
20.0,5,20,latent_flex,0.880531334253962,0.5289839911895096,3734,959
20.0,5,20,rolling_flex,0.8429251566477844,0.4313896582854797,3734,959
20.0,5,20,rolling_ou,0.7801647737414161,0.1282601261712462,3734,959
20.0,5,40,oracle_pde,0.8885907805615834,0.5804191537069439,3734,959
20.0,5,40,latent_flex,0.8803778335165197,0.5267909759857132,3734,959
20.0,5,40,rolling_flex,0.8149885860834765,0.4025160606113733,3734,959
20.0,5,40,rolling_ou,0.7569607981286812,0.1435649685851573,3734,959
20.0,5,80,oracle_pde,0.8885907805615834,0.5821552597371278,3734,959
20.0,5,80,latent_flex,0.8796963804263075,0.5289836701889542,3734,959
20.0,5,80,rolling_flex,0.7834187263384345,0.3413983908778228,3734,959
20.0,5,80,rolling_ou,0.7446442897537789,0.0811830992689928,3734,959
80.0,0,1,oracle_pde,0.8726674902076083,0.409498415041579,2639,1087
80.0,0,1,latent_flex,0.8706171340775235,0.3948282180525848,2639,1087
80.0,0,1,rolling_flex,0.8706171340775235,0.3948282180525848,2639,1087
80.0,0,1,rolling_ou,0.8062552755621734,-0.0009134232993881,2639,1087
80.0,0,5,oracle_pde,0.8726674902076083,0.4095336281641863,2639,1087
80.0,0,5,latent_flex,0.8703847722379764,0.3953295223833579,2639,1087
80.0,0,5,rolling_flex,0.8626667433302668,0.373837684145629,2639,1087
80.0,0,5,rolling_ou,0.8168336668595113,-0.3783436433153151,2639,1087
80.0,0,10,oracle_pde,0.8726674902076083,0.409577994293145,2639,1087
80.0,0,10,latent_flex,0.8703895143163345,0.3956015416689072,2639,1087
80.0,0,10,rolling_flex,0.8559178766869944,0.3537771111550454,2639,1087
80.0,0,10,rolling_ou,0.8097383321161999,-0.4238224836829543,2639,1087
80.0,0,20,oracle_pde,0.8726674902076083,0.4096678966497841,2639,1087
80.0,0,20,latent_flex,0.8699049331841159,0.3942316303443479,2639,1087
80.0,0,20,rolling_flex,0.8456975123056935,0.3212626902217955,2639,1087
80.0,0,20,rolling_ou,0.7958292235320896,-0.4159147787380819,2639,1087
80.0,0,40,oracle_pde,0.8726674902076083,0.4098524139095105,2639,1087
80.0,0,40,latent_flex,0.870673446258026,0.3974086707300993,2639,1087
80.0,0,40,rolling_flex,0.8368719117214694,0.2741747707331474,2639,1087
80.0,0,40,rolling_ou,0.7907549033090222,-0.3913603032552266,2639,1087
80.0,0,80,oracle_pde,0.8726674902076083,0.4102405577555554,2639,1087
80.0,0,80,latent_flex,0.8699363494532384,0.3956495802780699,2639,1087
80.0,0,80,rolling_flex,0.7678150992517001,0.0699419083328951,2639,1087
80.0,0,80,rolling_ou,0.7646459090090004,-0.44716386397016,2639,1087
80.0,1,1,oracle_pde,0.903113958014474,0.6015095972933757,3493,897
80.0,1,1,latent_flex,0.9038014920476232,0.5875719332000553,3493,897
80.0,1,1,rolling_flex,0.9038014920476232,0.5875719332000553,3493,897
80.0,1,1,rolling_ou,0.8563006632277081,0.3338887982865399,3493,897
80.0,1,5,oracle_pde,0.903113958014474,0.6017287921452543,3493,897
80.0,1,5,latent_flex,0.9036535498399906,0.5889009116051189,3493,897
80.0,1,5,rolling_flex,0.8947321408633124,0.5659517052103236,3493,897
80.0,1,5,rolling_ou,0.8648997772063357,0.1390573412391174,3493,897
80.0,1,10,oracle_pde,0.903113958014474,0.602003016693461,3493,897
80.0,1,10,latent_flex,0.9036084586010896,0.5885445169408571,3493,897
80.0,1,10,rolling_flex,0.8877921697560608,0.5408742141609462,3493,897
80.0,1,10,rolling_ou,0.8590276095802994,0.11198795355096,3493,897
80.0,1,20,oracle_pde,0.903113958014474,0.6025522351342214,3493,897
80.0,1,20,latent_flex,0.9035650851236702,0.5896331372092577,3493,897
80.0,1,20,rolling_flex,0.873278802995089,0.4972723000112437,3493,897
80.0,1,20,rolling_ou,0.8433062270571483,0.1077515781722315,3493,897
80.0,1,40,oracle_pde,0.903113958014474,0.6036537448976282,3493,897
80.0,1,40,latent_flex,0.9037226897396388,0.5903625711563592,3493,897
80.0,1,40,rolling_flex,0.83036632981364,0.4437336562373779,3493,897
80.0,1,40,rolling_ou,0.8213863022263906,0.1169292325928711,3493,897
80.0,1,80,oracle_pde,0.903113958014474,0.6058690188570545,3493,897
80.0,1,80,latent_flex,0.9042693673312686,0.5924727228466476,3493,897
80.0,1,80,rolling_flex,0.7358727001320958,0.3570448264594605,3493,897
80.0,1,80,rolling_ou,0.7729823603073418,0.1353558367935745,3493,897
80.0,2,1,oracle_pde,0.8720829270939847,0.6562817586649765,4563,894
80.0,2,1,latent_flex,0.862415802512495,0.6350005491905601,4563,894
80.0,2,1,rolling_flex,0.862415802512495,0.6350005491905601,4563,894
80.0,2,1,rolling_ou,0.8203547102118663,0.5262487168103411,4563,894
80.0,2,5,oracle_pde,0.8720829270939847,0.6565041214832774,4563,894
80.0,2,5,latent_flex,0.8625888162688417,0.6358512957190374,4563,894
80.0,2,5,rolling_flex,0.8493707177189866,0.6167607247964786,4563,894
80.0,2,5,rolling_ou,0.8256079261336441,0.3900229412930144,4563,894
80.0,2,10,oracle_pde,0.8720829270939847,0.6567822008450007,4563,894
80.0,2,10,latent_flex,0.862343243439349,0.6355598107742746,4563,894
80.0,2,10,rolling_flex,0.8297335801561301,0.5852560144358462,4563,894
80.0,2,10,rolling_ou,0.8153200861196932,0.3638210094874339,4563,894
80.0,2,20,oracle_pde,0.8720829270939847,0.6573387780572268,4563,894
80.0,2,20,latent_flex,0.8604797252267167,0.6348667528534906,4563,894
80.0,2,20,rolling_flex,0.8184312850333804,0.5480880350984363,4563,894
80.0,2,20,rolling_ou,0.7995538836481727,0.3649656285871613,4563,894
80.0,2,40,oracle_pde,0.8720829270939847,0.6584535992154329,4563,894
80.0,2,40,latent_flex,0.8630269145382163,0.6379512781655261,4563,894
80.0,2,40,rolling_flex,0.7954631372470112,0.5199859407336093,4563,894
80.0,2,40,rolling_ou,0.7864635256514616,0.367143496622013,4563,894
80.0,2,80,oracle_pde,0.8720829270939847,0.6606898500155933,4563,894
80.0,2,80,latent_flex,0.8618873102717428,0.639532225029807,4563,894
80.0,2,80,rolling_flex,0.7906439038488625,0.4462913422310862,4563,894
80.0,2,80,rolling_ou,0.7675754538143207,0.3797900737776558,4563,894
80.0,3,1,oracle_pde,0.8934046394561375,0.5600848310921764,3382,1023
80.0,3,1,latent_flex,0.8900450718676047,0.5605321717625074,3382,1023
80.0,3,1,rolling_flex,0.8900450718676047,0.5605321717625074,3382,1023
80.0,3,1,rolling_ou,0.7701160713508756,0.2022826832821069,3382,1023
80.0,3,5,oracle_pde,0.8934046394561375,0.5602774288612737,3382,1023
80.0,3,5,latent_flex,0.8899021115446883,0.5616764342328711,3382,1023
80.0,3,5,rolling_flex,0.8766745522752031,0.5316751951667473,3382,1023
